Organization Name,Industries,Headquarters Location,Estimated Revenue,Operating Status,Founded Date,Investment Stage,Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Total Funding Amount,Growth Category,Growth Confidence,Monthly visit,Monthly Visit Growth,Visit Duration Growth,Patents Granted,Visit Duration
"Tank, Virk and Raja Innovations",Paper & Packaging,Meghalaya,$1M to $10M,Closed,2021,Seed,Packaging,1,Tristan Kannan,1-10,0,Seed,$0 to $1M,Growing,Low,708,-31.120008052334896,1525.5027471339529,2,1243
Rastogi and Sons Technologies,E-Commerce,Jharkhand,$1M to $10M,Active,2021,Seed,Commerce,2,"Jagat Nazareth, Balhaar Cheema",251-500,7,Early Stage Venture,$1M to $5M,High,Low,1862438,1984.8224759890522,7010.909978802223,8,529
Chana-Ram Pvt Ltd,Paper & Packaging,Gujarat,Less than $1M,Closed,2021,Seed,Packaging,5,"Ekalinga Vig, Balhaar Dora, Dhruv Muni, Jack Bhagat, Vinaya Rau",1-10,0,Seed,$0 to $1M,High,Low,199,-26.961363462304917,9393.951792717593,10,965
Kohli PLC Technologies,Cement,Jharkhand,$1B to $10B,Active,2018,Series C,Construction,1,Advay Nadkarni,1-10,1,Seed,$100M to $500M,High,Medium,927739,1515.2030050750498,3067.094615865566,2,17
Tara-Konda Solutions,Ports,Telangana,$10M to $50M,Active,2017,IPO,Transportation,5,"Ikshita Rattan, Peter Balan, Bishakha Pathak, Vihaan Krishnan, Abhiram Hari",1001-5000,3,Seed,$10M to $50M,High,Low,1882898,1017.5923505361557,1439.8723382106043,9,1740
"Lall, Nori and Garde Pvt Ltd",Biotechnology,Manipur,Less than $1M,Active,2019,Series C,Biotechnology,3,"Harita Buch, Meghana Chakrabarti, Ekiya Oak",1001-5000,3,Early Stage Venture,$50M to $100M,High,Medium,33815,1969.9817839639077,1234.3510917907581,8,682
Bal-Nadig Technologies,Media and Entertainment,Goa,Less than $1M,Closed,2018,Seed,Media,4,"Chandran Vala, Samuel Anand, Gauri Gandhi, Umang Memon",11-50,0,Seed,$0 to $1M,Medium,Low,5568,-5.732433619163331,6867.030599546396,2,769
"Kala, Dugal and Lanka Pvt Ltd",Food Processing,Jharkhand,Less than $1M,Closed,2024,Seed,Food and Beverage,3,"Sneha Iyengar, Nimrat Ben, Samarth Bhandari",11-50,2,Early Stage Venture,$0 to $1M,High,Medium,1806,4.455246460223421,2724.0640801377263,0,1825
Sridhar-Srinivas Innovations,Education and Training,Jammu and Kashmir,$100M to $500M,Active,2024,Series C,Education,1,Abdul Chandran,1-10,5,M&A,$5M to $10M,Medium,High,1560717,1309.0650882323166,1324.6328561664418,1,2292
"Bhagat, Subramanian and De Pvt Ltd",Steel,Arunachal Pradesh,$50M to $100M,Active,2017,Series B,Manufacturing,3,"Nihal Devi, Jonathan Shenoy, Watika Seshadri",11-50,7,Early Stage Venture,$0 to $1M,Growing,Medium,1526915,1305.6193994282044,4121.592797391763,1,328
"Sastry, Krish and Nigam Technologies",Aviation,Odisha,$1B to $10B,Active,2020,Series C,Transportation,5,"Girik Ramesh, Ethan Bal, Raagini Chaudhari, Advika Saini, Suhani Iyer",101-250,5,Seed,$1M to $5M,High,Low,1379938,539.6040561341408,6200.237103917451,4,186
"Baral, Parmer and Pai Technologies",Tourism and Hospitality,Uttar Pradesh,$1M to $10M,Closed,2021,Seed,Hospitality,3,"Zinal Malhotra, Tejas Balakrishnan, Chaitaly Palan",11-50,0,Seed,$0 to $1M,Growing,Low,8055,-80.22931752584107,516.5609980267327,7,1489
Iyengar-Doctor Labs,Education and Training,Andhra Pradesh,$1M to $10M,Active,2020,Seed,Education,1,Lajita Bora,501-1000,3,Seed,$1M to $5M,High,Low,317886,440.52145598314644,3134.104346038232,2,2084
"Soni, Ahuja and Das Labs",Financial Services,Chhattisgarh,$100M to $500M,Active,2020,IPO,Financial Services,3,"Rushil Sen, Aarav Tiwari, Zinal Bose",251-500,5,Early Stage Venture,$5M to $10M,Medium,Low,853551,1684.4047411220074,2821.173997151486,10,666
Kunda-Som Innovations,Oil and Gas,Maharashtra,Less than $1M,Closed,2018,Seed,Energy,2,"Chaitaly Prasad, Akshay Kapur",11-50,0,Seed,$0 to $1M,High,Low,5543,-73.03629170609625,5168.939594909454,1,2331
"Rana, Dar and Bawa Labs",Cement,Maharashtra,$1M to $10M,Active,2018,IPO,Construction,1,Krisha Dixit,501-1000,4,Seed,$1M to $5M,Medium,Medium,676304,1605.6765597031265,2043.4650071406118,2,2493
Baria LLC Innovations,E-Commerce,Manipur,$50M to $100M,Active,2021,IPO,Commerce,2,"Jeet Sunder, Saumya Sant",501-1000,0,Seed,$1M to $5M,Medium,High,1932768,1759.9060207954576,2734.601531495235,7,588
"Seshadri, Vaidya and Sundaram Pvt Ltd",Paper & Packaging,Karnataka,$50M to $100M,Active,2021,Series A,Packaging,3,"Ganga Gupta, Indira Thaker, Ishwar Varughese",11-50,2,Early Stage Venture,$100M to $500M,Growing,High,1387751,806.0391892515311,9427.04797257794,2,993
"Chaudry, Anne and Bhatia Labs",Agriculture and Allied Industries,West Bengal,$10B+,Active,2020,Seed,Agriculture,2,"Rohan Kar, Jeet Kalla",1001-5000,1,Early Stage Venture,$1M to $5M,Growing,High,766333,858.440832579383,1545.415877142515,6,220
