Organization Name,Industries,Headquarters Location,Description,Estimated Revenue,Operating Status,Founded Date,Contact Email,Investment Stage,Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Total Equity Funding Amount,Total Funding Amount,Growth Category,Growth Confidence,Monthly visit,Monthly visit growth,Visit Duration Growth,Patents Granted,Visit Duration
KisanKonnect,"AgTech, E-Commerce, Farming, Mobile Apps, Supply Chain Management","Mumbai, Maharashtra, India",KisanKonnect is an agritech startup that enables users to connect and purchase vegetables and other food products from farmers.,$1M to $10M,Active,2020,—,—,"Agriculture and Farming, Apps, Commerce and Shopping, Mobile, Software, Transportation",2,"Nidhi Nirmal, Vivek Nirmal",251-500,4,Early Stage Venture,"$8,241,266","$8,241,266",Growing,High,"59,471",63.24%,-95.74%,—,30
Orange Health Labs,"Health Care, Health Diagnostics, Medical","Bangalore, Karnataka, India",Orange Health Labs is a full-stack diagnostic lab that offers on-demand pathology testing services to its customers.,$1M to $10M,Active,2020,hello@orangehealth.in,—,Health Care,3,"Dhruv Gupta, Sajal Sarwar Sharma, Tarun Bhambra",501-1000,4,—,"$46,936,996","$46,936,996",Growing,High,"245,803",29.41%,-63.66%,—,129
Jar,"Apps, Financial Services, FinTech","Bangalore, Karnataka, India",Jar is an investment tech startup that allows users to save money and invest in digital gold.,—,Active,2021,info@changejar.in,—,"Apps, Financial Services, Software",2,"Misbah Ashraf, Nishchay AG",51-100,5,Early Stage Venture,"$111,669,690","$111,669,690",Growing,Medium,"148,592",32.33%,207.32%,—,378
Newme,"E-Commerce, Fashion, Retail, Retail Technology, Women's","Bengaluru, Karnataka, India",Newme is a Gen Z-focused fashion startup that offers diverse women's fashion trends.,—,Active,2022,fam@newme.asia,—,"Clothing and Apparel, Commerce and Shopping, Community and Lifestyle, Design, Hardware, Software",4,"Himanshu Chaudhary, Shivam Tripathi, Sumit Jasoria, Vinod Naik",101-250,4,Early Stage Venture,"$23,411,975","$23,411,975",—,—,"1,175,548",-52.23%,-20.08%,—,199
Mensa Brands,"E-Commerce, Financial Services, Venture Capital","Bengaluru, Karnataka, India",Mensa Brands is a direct-to-consumer company that partners with entrepreneurs to build and scale digital brands.,$10M to $50M,Active,2021,partners@mensabrands.com,Early Stage Venture,"Commerce and Shopping, Financial Services, Lending and Investments",3,"Ananth Narayanan, Aniket Nikumb, Pawan Kumar Dasaraju",501-1000,6,Early Stage Venture,"$218,000,000","$293,894,367",—,—,"5,544",65.15%,8.48%,0,422
Landeed,"Insurance, InsurTech, Property Management, PropTech, Real Estate","Hyderabad, Andhra Pradesh, India","Landeed is a prop-tech startup that offers a property title search engine for real estate owners, agents, developers, and legal advisors.",$1M to $10M,Active,2022,ravi@landeed.com,—,"Financial Services, Real Estate",3,"Jonathan Richards, Sanjay Mandava, ZJ Lin",11-50,3,—,"$10,765,295","$10,765,295",Growing,High,"213,549",-25.93%,102.47%,—,739
Quash,"Developer Tools, Enterprise Software, Mobile Apps","Bengaluru, Karnataka, India",Quash: AI-powered QA automation transforming software testing by mimicking human testers.,—,Active,2023,hello@quashbugs.com,—,"Apps, Mobile, Software",1,Prakhar Shakya,1-10,1,Seed,"$650,000","$650,000",—,—,186,16.25%,—,—,173
MoEVing,"Automotive, Electric Vehicle, Logistics, Software, Transportation","Gurgaon, Haryana, India",MoEVing is an EV startup that builds an e-mobility and driver-centric technology platform for drivers and small fleet operators.,$10M to $50M,Active,2021,connect@moeving.com,—,"Software, Transportation",3,"Mragank Jain, Pramod Marar, Vikash Mishra",51-100,5,Seed,"$12,412,395","$12,412,395",Growing,High,"2,141",163.67%,3260%,—,672
Uni Cards,"Credit Cards, Financial Services, FinTech","Bengaluru, Karnataka, India","Uni Cards is a financial services startup on a mission to revolutionise the world of credit, one product at a time.",$1M to $10M,Active,2020,896.0248.469care@uni.club,—,"Financial Services, Lending and Investments, Payments",3,"Laximikant Vyas, Nitin Gupta, Prateek Jindal",251-500,3,Early Stage Venture,"$88,500,000","$94,932,858",Growing,High,"224,772",92.65%,8757.14%,—,"1,240"
ELIVAAS,"Hospitality, Hotel, Travel Accommodations, Vacation Rental","Gurgaon, Haryana, India",Elivaas is a luxury vacation rental platform that offers villas and homes for rentals in sought-after destinations.,—,Active,2022,info@elivaas.com,—,"Real Estate, Travel and Tourism",2,"Karan Miglani, Ritwik Khare",51-100,2,Early Stage Venture,"$7,495,119","$7,495,119",Growing,High,"9,303",-72.89%,-22.16%,—,144
